rank,code,name,momentum,volatility,volume_ratio,turnover_stability,pvt,clv,score,momentum_norm,volatility_norm,volume_ratio_norm,turnover_stability_norm,pvt_norm,clv_norm
87,603052,可川科技,0.3900064063837516,-0.04282770056475884,0.8397804308316701,0.6054898199859207,-0.12750735446740594,0.6867469879518076,60.66612245117663,78.80736921447651,19.285375200621434,9.950018623850141,36.82209527562742,12.338207860070598,68.67469879518075
88,600595,中孚实业,0.29003937492309595,-0.023251098608916814,1.0486834968002738,0.7972231472543738,0.04755754166226008,0.8867924528301909,60.51563744811885,64.27035546098064,60.73660347852138,18.593299680420756,88.74364974991722,40.85880806063369,88.6792452830191
89,000792,盐湖股份,0.2869071237302283,-0.02145712737082887,1.534920438891291,0.7255958972967586,0.03632736180901816,0.5809128630705379,60.42975128779824,63.814869507213544,64.53513355446128,38.7111592776166,69.34692715869666,39.02924955486964,58.09128630705379
90,600266,城建发展,0.3525484262566197,-0.04200353514786448,0.7887570758722053,0.471295320920694,0.1813316698924862,0.0,60.136563621742035,73.36030167300807,21.03045174207116,7.838947657423541,0.48210633041073586,62.65254577037553,0.0
91,002935,天奥电子,0.3196868571728051,-0.038609390669765965,1.556287862951223,0.6981702805995291,0.03942495269828719,0.6655844155844162,59.85801432428258,68.58163539920878,28.21716667284341,39.59522792806273,61.92004591888789,39.53389185204561,66.55844155844161
92,002558,巨人网络,0.27051110211113694,-0.022277046649967065,1.5341572156479297,0.7923057516325471,0.056847691709139524,0.23701298701298842,59.82312940556624,61.43059152779635,62.79904772681507,38.6795812202497,87.41201466963288,42.37230768933162,23.701298701298846
93,600588,用友网络,0.2718232544306008,-0.023067253234620288,3.0162360009756863,0.4695150227042258,0.13490783716154814,0.6909090909090915,59.75651234166784,61.62140219843465,61.12587515064255,100.0,0.0,55.08943287699329,69.09090909090914
94,603015,弘讯科技,0.34207035299492217,-0.043805790166289535,1.121559079590186,0.4871229963194186,0.18700965436748063,0.0,59.68365321538054,71.83660037979338,17.21438170334648,21.608497859988198,4.768254816561113,63.57757145363059,0.0
95,002842,翔鹭钨业,0.35129912630849186,-0.04765800709580134,0.8989636250257298,0.7163602422118714,0.0014164481401840647,0.2878787878787863,59.42722256763837,73.17863087351729,9.057750451336302,12.398699684958817,66.84590359942618,33.34175746823386,28.787878787878622
96,603516,淳中科技,0.3339580978915966,-0.05010485257476472,1.267828469959797,0.7877253633457004,0.02009788124882947,0.746190858059341,59.177657743327124,70.65693182021107,3.8768334189505307,27.660335563163873,86.17164147350134,36.38523275451057,74.61908580593409
97,002243,力合科创,0.2978541558197644,-0.034746635686398505,1.1069208082266193,0.6312169467574011,0.18492849451467686,0.5333333333333338,58.987792733837544,65.40676589265517,36.396111055444926,21.002845219175974,43.78902394245273,63.238520453529944,53.33333333333338
98,600547,山东黄金,0.2896386490232096,-0.02648307454625959,1.0866634928040348,0.7618840342456102,0.020846579104643947,0.48203592814371404,58.955429392325044,64.21208267011235,53.89326199006168,20.16470687095606,79.17378671515884,36.50720644934478,48.203592814371405
99,600973,宝胜股份,0.3265037124851812,-0.0492774850460927,1.0204646282693215,0.7593611857353526,0.09703393108132552,0.0,58.95165986359784,69.57292940868034,5.628690067926912,17.42575524692693,78.49059710893917,48.91922652935613,0.0
100,600135,乐凯胶片,0.37823839022469163,-0.051935804945659,1.014539147688853,0.6594668322672783,-0.11446765637546269,0.5512820512820519,58.84450257163126,77.0960869021379,0.0,17.180590850632537,51.439117905198415,14.46256302343186,55.12820512820519
101,600399,抚顺特钢,0.2757617382617383,-0.030193676684329433,2.1260082393700515,0.6379076653291071,0.11840013774795113,0.3333333333333329,58.81795057291891,62.19412895429216,46.036483953682534,63.16718133243838,45.60087644479092,52.400090206846826,33.333333333333286
102,603119,浙江荣泰,0.32366753082152977,-0.040945629703710344,1.0419626476652046,0.6925227959685107,0.0510499279642089,0.27387198321091283,58.81746603216834,69.16049731732488,23.27044620898527,18.31522722732453,60.39070208967671,41.42776823292335,27.387198321091283
103,603039,泛微网络,0.2890011870844298,-0.029330158859229006,2.080444597004578,0.5077518471641316,0.12297936464710281,0.18410041841004382,58.56649712353185,64.11938417906013,47.86488474412675,61.28200379758573,10.354565856665808,53.146112410645095,18.410041841004382
104,600711,盛屯矿业,0.2917008442072069,-0.03214741541936333,0.9405021509948029,0.8071093345480975,0.03282924393023675,0.5316455696202514,58.471185075553805,64.51196313384263,41.8996643726368,14.117339633882855,91.42083800626772,38.45935562592759,53.164556962025145
105,600271,航天信息,0.3347001543703759,-0.05070016563392504,0.8689856058225739,0.740353203049308,0.05256820029841264,0.0,58.18961190297738,70.76484024842254,2.6163257185983033,11.158371093845227,73.34321859869199,41.675116725949195,0.0
106,002851,麦格米特,0.28423580245814994,-0.03279491968990969,1.0958197316383993,0.7954720256481767,0.05076850594897515,0.10978520286396208,58.03019394580261,63.426411097427795,40.5286477176589,20.543542601774835,88.2694444713536,41.38192052180841,10.978520286396211
107,600497,驰宏锌锗,0.28151600349962635,-0.03024809955847293,1.1265762905000625,0.7182339319950624,0.05752280372127322,0.3170731707317091,57.42045566880409,63.03090315556835,45.92124970696545,21.81608296082474,67.35330044864298,42.48229318736317,31.707317073170906
108,002488,金固股份,0.2824491279519016,-0.0396702078280486,1.0693960064643053,0.7309745745009901,0.16880566450845444,0.29268292682926844,57.38759344063973,63.16659632158766,25.971006982399047,19.450271508876664,70.80347769916744,60.61187856886264,29.268292682926838
109,600577,精达股份,0.28039170595224405,-0.0327049041598337,1.1407995402579716,0.7538861344317922,0.052457046844916914,0.43965517241379287,57.215437965719744,62.86740996515836,40.719245365511796,22.404564248188347,77.00794837719667,41.65700822288462,43.96551724137929
110,002029,七 匹 狼,0.2870921423973857,-0.04107877279689195,1.341597652660047,0.7657930413655123,0.0828151099481583,0.4692307692307692,57.19561556982937,63.84177456650981,22.98853085097038,30.712506082708067,80.23234929792885,46.602775191436194,46.92307692307692
111,600552,凯盛科技,0.2685350559203174,-0.04379509490079201,1.3311495684130163,0.5536931659650245,0.41057748342510525,0.1285714285714296,57.17775666847938,61.14323868522653,17.237027711710475,30.280220763049876,22.795515589945424,100.0,12.85714285714296
112,600094,大名城,0.2324552733023624,-0.0330020229794986,2.800867366958619,0.6181508469348931,0.2550520452004719,0.821428571428572,57.16988522298676,55.8965859790613,40.09013005492979,91.08920864350083,40.25071256296579,74.6626597182753,82.14285714285718
113,000703,恒逸石化,0.3069763479848535,-0.03979366457373625,0.6745573708575968,0.7554442636079258,0.031193160867368175,0.58974358974359,57.13074341169261,66.7332975604293,25.70960136361553,3.113980398364433,77.42989113513636,38.192814063555055,58.974358974359
114,603130,云中马,0.31494493816639785,-0.04091005846555311,0.6768901302666961,0.7234770869741851,0.01974434553855634,0.20555555555555602,57.09097478617652,67.89207464295849,23.345764260417752,3.210497388752858,68.77315145078255,36.327636680870235,20.5555555555556
115,002849,威星智能,0.2774693440411692,-0.02539813069210607,1.4553889895614458,0.6189538140946749,0.040142135345911406,0.10126582278480807,57.08827254601177,62.44244570771007,56.19050721518622,35.42057727391557,40.468156779480644,39.65073126426291,10.126582278480807
116,000036,华联控股,0.3468379446640316,-0.03766240981944591,0.9812700340277282,0.6501227532658124,-0.20324163292788666,0.3924050632911387,57.028796556083975,72.52989440535593,30.22229092729567,15.804094538609467,48.90873305349555,0.0,39.24050632911387
